Statistics for Gauteng Province,Number,Total observed,Percentage
Schools that comply with N&S for electronic connectivity[1],210,210,100.00
Schools with internet facilities,171,210,81.43
Schools WITHOUT internet facilities,39,210,18.57
Schools with telephone facilities,199,209,95.22
Schools WITHOUT telephone facilities,10,209,4.78
Schools with 1+ computers connected to the internet,69,129,53.49
Schools where there are enough computers to allow one student 30 minutes on an internet-connected computer[2],61,126,48.41
