Statistics for Gauteng Province,Number,Total observed,Percentage
Schools that comply with N&S for perimeter security,78,216,36.11
Schools where the community feels that the school is usually safe,126,216,58.33
Schools where the community feels that the school is sometimes safe ,47,216,21.76
Schools where the community feels that the school is usually unsafe,41,216,18.98
