Statistics for Gauteng Province,Number,Total observed,Percentage
Schools that comply with N&S for electricity supply[1],198,202,98.02
Schools with no electricity supply,1,202,0.50
Schools with an irregular electricity supply,3,202,1.49
Schools with a regular electricity supply,198,202,98.02
