Statistics for Gauteng Province,Number,Total observed,Percentage
Schools that comply with N&S for students with disabilities[1],90,167,53.89
Schools that have ramps,38,167,22.75
School that have disabled parking,7,167,4.19
Schools that have toilets for the disabled[2],20,167,11.98
Schools with signs for the blind (braille),2,167,1.20
Schools with visual aids for the hearing impaired,46,167,27.54
